title,rank,date,artist,url,region,chart,trend,streams
Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1371493.0
God's Plan,1,2018-03-01,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,3236848.0
Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-02,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1161746.0
Bad and Boujee (feat. Lil Uzi Vert),1,2017-02-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1587455.0
Turn Up On the Weekend,1,2017-08-01,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,SAME_POSITION,
Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-03,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1284891.0
God's Plan,1,2018-03-02,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,3257136.0
Bad and Boujee (feat. Lil Uzi Vert),1,2017-02-02,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1549896.0
These Heaux,1,2017-09-01,Bhad Bhabie,https://open.spotify.com/track/6SUxrwVN19Kmd9JfIbjJUj,United States,viral50,MOVE_UP,
Turn Up On the Weekend,1,2017-08-02,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,SAME_POSITION,
These Heaux,1,2017-09-02,Bhad Bhabie,https://open.spotify.com/track/6SUxrwVN19Kmd9JfIbjJUj,United States,viral50,SAME_POSITION,
Turn Up On the Weekend,1,2017-08-03,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,SAME_POSITION,
Turn Up On the Weekend,1,2017-08-04,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,SAME_POSITION,
God's Plan,1,2018-02-01,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,3688855.0
Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-04,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1293486.0
Turn Up On the Weekend,1,2017-08-05,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,SAME_POSITION,
Turn Up On the Weekend,1,2017-08-06,"Branchez, Big Wet",https://open.spotify.com/track/2AEzMPR01sg1wsXurYrgDx,United States,viral50,SAME_POSITION,
These Heaux,1,2017-09-03,Bhad Bhabie,https://open.spotify.com/track/6SUxrwVN19Kmd9JfIbjJUj,United States,viral50,SAME_POSITION,
Bad and Boujee (feat. Lil Uzi Vert),1,2017-02-03,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1615036.0
...Ready For It?,1,2017-09-04,Taylor Swift,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,United States,viral50,NEW_ENTRY,
Cocaina,1,2017-08-07,"Captain Cuts, Rich The Kid, Daniels",https://open.spotify.com/track/4dHh7DeKSg5zDhMOn7jnlw,United States,viral50,NEW_ENTRY,
...Ready For It?,1,2017-09-05,Taylor Swift,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,United States,viral50,SAME_POSITION,
Cocaina,1,2017-08-08,"Captain Cuts, Rich The Kid, Daniels",https://open.spotify.com/track/4dHh7DeKSg5zDhMOn7jnlw,United States,viral50,SAME_POSITION,
Cocaina,1,2017-08-09,"Captain Cuts, Rich The Kid, Daniels",https://open.spotify.com/track/4dHh7DeKSg5zDhMOn7jnlw,United States,viral50,SAME_POSITION,
...Ready For It?,1,2017-09-06,Taylor Swift,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,United States,viral50,SAME_POSITION,
God's Plan,1,2018-02-02,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,3736723.0
Bad and Boujee (feat. Lil Uzi Vert),1,2017-02-04,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1629100.0
Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-05,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,United States,top200,SAME_POSITION,1295592.0
...Ready For It?,1,2017-09-07,Taylor Swift,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,United States,viral50,SAME_POSITION,
